Compound_ID,Smiles,Activity_Label
JM0C01535-17,[Na+].[O-]S(=O)(=O)ON1[C@@H]2CC[C@@H](COC(F)(F)F)N(C2)C1=O,0
JM0C01535-21,[Na+].[O-]S(=O)(=O)ON1[C@@H]2CC[C@@H](F)N(C2)C1=O,1
JM0C01535-22,[Na+].[O-]S(=O)(=O)ON1[C@@H]2CC[C@@H](SC(F)(F)F)N(C2)C1=O,0
JM0C01535-24,[Na+].[O-]S(=O)(=O)ON1[C@@H]2CCCN(C2)C1=O,0
JM0C01535-31,[Na+].CC(F)(F)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-],0
JM1C00799-2,O=C1N2[C@H]([S@@](C)=O)CC[C@@H](N1O[C@H](F)C(O)=O)C2,1
JM1C00799-5,O=C1N2[C@H]([S@](C)=O)CC[C@@H](N1O[C@H](F)C(O)=O)C2,0
JM1C00799-18,O=C1N2[C@H]([S@@](CC3=CN=C(N)S3)=O)CC[C@@H](N1O[C@H](F)C(O)=O)C2,1
JM1C00799-AVI,OS(ON1[C@H]2CN(C1=O)[C@H](C(N)=O)CC2)(=O)=O,0
JM9B02125-7a,O=C1N2[C@H](CN3C=C(C4=CC=CN=C4)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7b,O=C1N2[C@H](CN3C=C(C4=CC=CC=C4)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7c,O=C1N2[C@H](CN3C=C([Si](C)(C)C)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7d,O=C1N2[C@H](CN3C=C(COC)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7e,O=C1N2[C@H](CN3C=C(CN(C)C)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7f,O=C1N2[C@H](CN3C=C(CN4CCOCC4)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7g,O=C1N2[C@H](CN3C=C(CNC(OC(C)(C)C)=O)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7h,O=C1N2[C@H](CN3C=C(C4CCN(CC4)C(OC(C)(C)C)=O)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7i,O=C1N2[C@H](CN3C=C(C4=CC=C(NC(CCNC(OC(C)(C)C)=O)=O)C=C4)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-7j,O=C1N2[C@H](CN3C=C(CCC(O)=O)N=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-8g,O=C1N2[C@H](CN3C=C(CNC(C(F)(F)F)=O)N=N3)CC[C@@H](N1OS(=O)(O)=O)C2,0
